name,bus0,bus1,type,x,r,g,b,s_nom,s_nom_mod,s_nom_extendable,s_nom_min,s_nom_max,s_nom_set,s_max_pu,capital_cost,overnight_cost,discount_rate,fom_cost,active,build_year,lifetime,length,carrier,terrain_factor,num_parallel,v_ang_min,v_ang_max,sub_network,x_pu,r_pu,g_pu,b_pu,x_pu_eff,r_pu_eff,s_nom_opt
Baghabari_132kVtoShahjadpur_132kV_Line2,Baghabari_132kV,Shahjadpur_132kV,,1.112917,0.67436,0.0,2.62e-05,135.807,0.0,False,0.0,inf,,1.0,0.0,,,0.0,True,0,inf,5.0,,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Baghabari_132kVtoUllapara_132kV_Line1,Baghabari_132kV,Ullapara_132kV,,3.62525,1.721964,0.0,9.316e-05,162.785,0.0,False,0.0,inf,,1.0,0.0,,,0.0,True,0,inf,17.0,,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shahjadpur_132kVtoUllapara_132kV_Line1,Shahjadpur_132kV,Ullapara_132kV,,2.77225,1.316796,0.0,7.124e-05,162.785,0.0,False,0.0,inf,,1.0,0.0,,,0.0,True,0,inf,13.0,,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ishwardi_132kVtoPabna_132kV_Line1,Ishwardi_132kV,Pabna_132kV,,3.8385,1.823256,0.0,9.864e-05,162.785,0.0,False,0.0,inf,,1.0,0.0,,,0.0,True,0,inf,18.0,,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pabna_132kVtoShahjadpur_132kV_Line1,Pabna_132kV,Shahjadpur_132kV,,8.74325,4.152972,0.0,0.00022468,162.785,0.0,False,0.0,inf,,1.0,0.0,,,0.0,True,0,inf,41.0,,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bogura_132kVtoSirajganj_132kV_Line1,Bogura_132kV,Sirajganj_132kV,,14.0745,6.685272,0.0,0.00036168,162.785,0.0,False,0.0,inf,,1.0,0.0,,,0.0,True,0,inf,66.0,,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bogura_132kVtoSirajganj_132kV_Line2,Bogura_132kV,Sirajganj_132kV,,14.0745,6.685272,0.0,0.00036168,162.785,0.0,False,0.0,inf,,1.0,0.0,,,0.0,True,0,inf,66.0,,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sirajganj_132kVtoShahjadpur_132kV_Line1,Sirajganj_132kV,Shahjadpur_132kV,,7.2505,3.443928,0.0,0.00018632,162.785,0.0,False,0.0,inf,,1.0,0.0,,,0.0,True,0,inf,34.0,,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sirajganj_132kVtoBaghabari_132kV_Line1,Sirajganj_132kV,Baghabari_132kV,,8.53,4.05168,0.0,0.0002192,162.785,0.0,False,0.0,inf,,1.0,0.0,,,0.0,True,0,inf,40.0,,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rajshahi_132kVtoRajshahiNorth_132kV_Line1,Rajshahi_132kV,RajshahiNorth_132kV,,10.236,4.862016,0.0,0.00026304,162.785,0.0,False,0.0,inf,,1.0,0.0,,,0.0,True,0,inf,48.0,,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rajshahi_132kVtoRajshahiNorth_132kV_Line2,Rajshahi_132kV,RajshahiNorth_132kV,,10.236,4.862016,0.0,0.00026304,162.785,0.0,False,0.0,inf,,1.0,0.0,,,0.0,True,0,inf,48.0,,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rangpur_132kVtoLalmonirhat_132kV_Line1,Rangpur_132kV,Lalmonirhat_132kV,,8.1035,3.849096,0.0,0.00020824,162.785,0.0,False,0.0,inf,,1.0,0.0,,,0.0,True,0,inf,38.0,,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bogura_132kVtoNaogaon_132kV_Line1,Bogura_132kV,Naogaon_132kV,,9.383,4.456848,0.0,0.00024112,162.785,0.0,False,0.0,inf,,1.0,0.0,,,0.0,True,0,inf,44.0,,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bogura_132kVtoNaogaon_132kV_Line2,Bogura_132kV,Naogaon_132kV,,9.383,4.456848,0.0,0.00024112,162.785,0.0,False,0.0,inf,,1.0,0.0,,,0.0,True,0,inf,44.0,,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kabirpur_132kVtoTangail_132kV_Line1,Kabirpur_132kV,Tangail_132kV,,10.87575,5.165892,0.0,0.00027948,162.785,0.0,False,0.0,inf,,1.0,0.0,,,0.0,True,0,inf,51.0,,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kabirpur_132kVtoTangail_132kV_Line2,Kabirpur_132kV,Tangail_132kV,,10.87575,5.165892,0.0,0.00027948,162.785,0.0,False,0.0,inf,,1.0,0.0,,,0.0,True,0,inf,51.0,,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tongi_132kVtoMirpur_132kV_Line1,Tongi_132kV,Mirpur_132kV,,3.62525,1.721964,0.0,9.316e-05,162.785,0.0,False,0.0,inf,,1.0,0.0,,,0.0,True,0,inf,17.0,,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tongi_132kVtoUttara_132kV_Line1,Tongi_132kV,Uttara_132kV,,3.19875,1.51938,0.0,8.22e-05,162.785,0.0,False,0.0,inf,,1.0,0.0,,,0.0,True,0,inf,15.0,,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Uttara_132kVtoMirpur_132kV_Line1,Uttara_132kV,Mirpur_132kV,,1.91925,0.911628,0.0,4.932e-05,162.785,0.0,False,0.0,inf,,1.0,0.0,,,0.0,True,0,inf,9.0,,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mirpur_132kVtoAminbazar_132kV_Line1,Mirpur_132kV,Aminbazar_132kV,,1.49275,0.709044,0.0,3.836e-05,162.785,0.0,False,0.0,inf,,1.0,0.0,,,0.0,True,0,inf,7.0,,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mirpur_132kVtoAminbazar_132kV_Line2,Mirpur_132kV,Aminbazar_132kV,,1.49275,0.709044,0.0,3.836e-05,162.785,0.0,False,0.0,inf,,1.0,0.0,,,0.0,True,0,inf,7.0,,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aminbazar_132kVtoKallayanpur_132kV_Line1,Aminbazar_132kV,Kallayanpur_132kV,,0.853,0.405168,0.0,2.192e-05,162.785,0.0,False,0.0,inf,,1.0,0.0,,,0.0,True,0,inf,4.0,,1.0,1.0,-inf,inf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
