name,v_nom,type,x,y,carrier,unit,location,v_mag_pu_set,v_mag_pu_min,v_mag_pu_max,control,generator,sub_network
Hasnabad_230kV,230.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
Hathazari_132kV,132.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
Hathazari_230kV,230.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
Ishwardi_132kV,132.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
Ishwardi_230kV,230.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
Jaldhaka_132kV,132.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
Jamalpur_132kV,132.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
Jashore_132kV,132.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
JhenaidahSouth_132kV,132.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
JhenaidahSouth_230kV,230.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
Jhenaidah_132kV,132.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
Joydebpur_132kV,132.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
Joypurhat_132kV,132.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
Juldah_132kV,132.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
Kabir Steel_132kV,132.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
Kabirpur_132kV,132.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
Kachua_132kV,132.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
Kachua_230kV,230.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
Kaliakoir_132kV,132.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
Kaliakoir_230kV,230.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
Kaliakoir_400kV,400.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
Kaliganj_132kV,132.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
Kallayanpur_132kV,132.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
Kalurghat_132kV,132.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
Kamrangirchar_132kV,132.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
Kaptai_132kV,132.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
Kazla_132kV,132.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
Keraniganj_132kV,132.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
Keraniganj_132kVt,132.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
Keraniganj_230kV,230.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
Khagrachari_132kV,132.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
Khulna330MW_230kV,230.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
KhulnaCentral_132kV,132.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
KhulnaSouth_132kV,132.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
KhulnaSouth_230kV,230.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
Khulshi_132kV,132.0,,0.0,0.0,AC,,,1.0,0.0,inf,PQ,,
