name,fuel,producer,unit_config,installed_mw,present_mw,actual_day_peak_mw,actual_evening_peak_mw,forecast_day_peak_mw,forecast_evening_peak_mw,remarks,p2_evening_peak_mw,p2_energy_kwh,p2_remarks
Gagnagar 102 MW PP (Digital Power),HFO,IPP,12*8.924,102.0,102.0,0.0,0.0,102.0,102.0,Liquid fuel shortage,0.0,0.0,Liquid fuel shortage
Gazipur 100 MW PP,HFO,RPCL,6*17.5,105.0,105.0,34.0,70.0,105.0,105.0,Liquid fuel shortage,70.0,1331098.0,Liquid fuel shortage
Gazipur 52 MW PP,HFO,RPCL,6*8.9,52.0,52.194,16.0,8.0,52.19,52.19,Liquid fuel shortage,8.0,531274.0,Liquid fuel shortage
Ghorasal 365 MW CCPP Unit-7,Gas,PDB,1*243+1*122,365.0,365.0,0.0,0.0,260.0,260.0,Gas shortage,0.0,0.0,Gas shortage
Ghorasal Repowered CCPP Unit-3,Gas,PDB,1*260,260.0,260.0,0.0,0.0,0.0,0.0,GT is under maintenance,0.0,0.0,GT is under maintenance
Ghorasal Repowered CCPP Unit-4,Gas,PDB,1*210,210.0,240.0,0.0,0.0,230.0,230.0,Gas shortage,0.0,0.0,Gas shortage
Ghorasal TPP Unit-5,Gas,PDB,1*210,210.0,190.0,0.0,0.0,190.0,190.0,Gas shortage,0.0,0.0,Gas shortage
Ghorashal 108 MW PP (Regent),Gas,IPP,34*3.35,108.0,97.7,0.0,0.0,97.7,97.7,Gas (RMS) problem,0.0,0.0,Gas (RMS) problem
Gopalganj 100 MW Peaking PP,HFO,PDB,16*6.98,109.0,109.0,0.0,0.0,0.0,0.0,Liquid fuel shortage,0.0,0.0,Liquid fuel shortage
HVDC(Nepal),Import,Import,1*40,0.0,40.0,38.0,38.0,40.0,40.0,-,38.0,912000.0,-
Haripur 360 MW CCPP (HPL),Gas,IPP,1*235+1*125,0.0,0.0,0.0,0.0,0.0,0.0,Contract Expired,0.0,0.0,Contract Expired
Haripur 412 MW CCPP,Gas,EGCB,1*273+1*139,412.0,412.0,370.0,410.0,412.0,412.0,AGC,410.0,8823600.0,AGC
Haripur GTPP,Gas,"SBU,PDB",32*2,32.0,20.0,0.0,0.0,0.0,0.0,-,0.0,0.0,-
Hathazari 100 MW peaking PP,HFO,PDB,11*8.9,98.0,98.0,0.0,0.0,8.0,8.0,Liquid fuel shortage,0.0,0.0,Liquid fuel shortage
Import (Tripura),Import,Import,,160.0,160.0,156.0,162.0,84.0,78.0,-,162.0,3628800.0,-
Intraco Solar 30 MW,Solar,IPP,1*30,30.0,30.0,9.0,0.0,30.0,0.0,-,0.0,147261.0,-
JERA Meghnaghat Power Limited,Gas,IPP,250*2+268,0.0,718.0,0.0,0.0,718.0,718.0,Gas shortage,0.0,0.0,Gas shortage
Jamalpur 115 MW PP (United),HFO,IPP,9.78*12,115.0,115.0,58.0,88.0,60.0,80.0,Liquid fuel shortage,88.0,1212000.0,Liquid fuel shortage
Jangalia 52 MW PP (Lakdanavi),HFO,IPP,6*8.92,52.2,52.2,0.0,8.0,52.2,52.2,-,8.0,400282.0,Liquid fuel shortage
Jodiac Power,HFO,IPP,3*18.55+1*3.6,54.0,54.363,0.0,54.36,54.36,54.36,-,54.36,395805.0,-
Juldah 100 MW PP Unit-3 (Acorn),HFO,IPP,8*13.5,100.0,100.0,12.0,12.0,100.0,100.0,Liquid fuel shortage,12.0,297600.0,Liquid fuel shortage
Juldah unit-2 (Acorn),HFO,IPP,8*13.6,100.0,100.0,12.0,12.0,100.0,100.0,Liquid fuel shortage,12.0,288960.0,Liquid fuel shortage
Kamalaghat 54 MW PP(Banco Energy),HFO,IPP,3*18,54.0,53.97,0.0,35.0,53.97,53.97,Liquid fuel shortage,35.0,200448.0,Liquid fuel shortage
Kanchan Purbachal Power Generation Ltd.,HFO,IPP,18.4*3,55.0,55.0,0.0,17.0,55.0,55.0,Liquid fuel shortage,17.0,133920.0,Liquid fuel shortage
Kaptai 7 MW Solar PP,Solar,PDB,,7.0,6.0,3.33,0.0,3.54,0.0,-,0.0,22441.0,-
"Karnaphuli Hydro PP Unit-1,2,3,4, 5",Hydro,PDB,2*40+3*50,230.0,230.0,99.0,98.0,99.0,99.0,-,98.0,2313940.0,-
Karnaphuli Power Ltd.,HFO,IPP,18.415*6+6.5,110.0,110.0,31.0,105.0,110.0,110.0,FGMO,105.0,1732944.0,-
Katakhali 50 MW Peaking PP,HFO,PDB,6*8.7,50.0,50.0,0.0,20.0,32.0,32.0,Partial Shutdown due to maintenance,20.0,152284.0,Partial Shutdown due to maintenance
Khulna 225 MW CCPP,HSD/Gas,NWPGCL,1X150+1X75,230.0,230.0,0.0,0.0,230.0,230.0,-,0.0,0.0,-
Khulna 330 MW CCPP,HSD/Gas,PDB,1*220+1*110,336.0,336.0,0.0,0.0,330.0,330.0,Liquid fuel shortage,0.0,226320.0,-
Kodda 149 MW PP Unit-1 (Summit),HFO,IPP,8*18.45+8.97,149.0,149.0,52.0,115.0,149.0,149.0,Liquid fuel shortage,115.0,1739520.0,Liquid fuel shortage
Kodda 150 MW PP BRPL,HFO,PDB-RPCL,9*17.06,149.0,149.36,144.0,130.0,149.36,149.36,,130.0,2940960.0,Liquid fuel shortage
Kodda 300 MW PP Unit-2 (Summit),HFO,IPP,18*17.06,300.0,300.0,146.0,45.0,300.0,300.0,Liquid fuel shortage,45.0,1814575.0,Liquid fuel shortage
Kushiara 163 MW CCPP (KP),Gas,IPP,1*109+1*54,163.0,163.0,149.0,133.0,163.0,163.0,AGC,133.0,3264954.55,AGC+FGMO
Madanganj-55 MW PP(Summit),HFO,IPP,3*17+1*11.3,55.0,55.0,15.0,15.0,55.0,55.0,Liquid fuel shortage,15.0,380969.0,Liquid fuel shortage
Madhumati 100 MW PP,HFO,NWPGCL,6*18,105.0,105.0,0.0,15.0,105.0,105.0,Liquid fuel shortage,15.0,42912.0,Liquid fuel shortage
"Malancha, Ctg. EPZ (United)",Gas,IPP,5*8.73+3*9.34,42.0,42.0,2.0,28.0,5.0,24.0,-,28.0,329280.0,-
Manikganj 55 MW PP (Northern),HFO,IPP,19.3*3,55.0,55.0,0.0,35.0,55.0,55.0,Liquid fuel shortage,35.0,418474.0,Liquid fuel shortage
Manikgonj 162MW PP(MPGL),HFO,IPP,9*18,162.0,162.0,17.0,72.0,162.0,162.0,Liquid fuel shortage,72.0,660960.0,Liquid fuel shortage
Matarbari 2*600 MW (CPGCBL),Coal,CPGCL,2*600,1150.0,1150.0,1135.0,1135.0,1150.0,1150.0,machine problem,1135.0,25447272.73,Machine Problem
Meghnaghat 104 MW PP (OPCL),HFO,IPP,6*18.5,104.0,104.0,0.0,0.0,104.0,104.0,Liquid fuel shortage,0.0,0.0,Liquid fuel shortage
Meghnaghat 450 MW CCPP (MPL),Gas,IPP,2*150+1*150,450.0,450.0,0.0,0.0,225.0,225.0,Gas shortage,0.0,0.0,Gas shortage
Meghnaghat CCPP(Summit),Gas,IPP,2*110+1*110,335.0,335.0,269.0,300.0,335.0,335.0,Gas shortage,300.0,4897745.0,Gas shortage
Meghnaghat CCPP(Summit)-2,Gas/HSD,IPP,1*409+1*202,583.0,583.0,535.0,440.0,583.0,583.0,AGC+Gas shortage,440.0,11658399.0,FGMO
Mirsharai 150 MW BRPL,HFO/Gas,IPP,18.5*9,163.0,163.0,0.0,0.0,0.0,0.0,Under Maintenance,0.0,3345.0,Under Maintenance
Mongla Orion 100 MW Solar PP,Solar,IPP,100,100.0,100.0,30.0,0.0,55.0,0.0,-,0.0,410969.0,-
Moulvibazar 10 MW Solar Power Plant,Solar,IPP,1*10,0.0,0.0,6.0,0.0,0.0,0.0,-,0.0,60260.0,-
Muktagacha Solartech Energy Ltd,Solar,IPP,1*20,20.0,20.0,13.75,0.0,10.0,0.0,-,0.0,67194.0,-
Mymensingh 200 MW PP (United),HFO,IPP,9.78*21,200.0,200.0,66.0,117.0,70.0,110.0,Liquid fuel shortage,117.0,1639200.0,Liquid fuel shortage
Nababganj 55 MW PP (Southern power ),HFO,IPP,19.3*3,55.0,55.0,0.0,35.0,55.0,55.0,Liquid fuel shortage,35.0,184185.0,Liquid fuel shortage
Name of the Power Station,Fuel,Producer,Installed Capacity,,,,,,,Remarks,,,
Natore 52 MW PP (Rajlanka),HFO,IPP,6*8.92,52.0,52.2,0.0,0.0,52.2,52.2,Liquid fuel shortage,0.0,0.0,Liquid fuel shortage
Pabna 64 MW Solar Plant,Solar,PDB,11*6.6,64.0,64.55,6.22,0.0,40.0,0.0,Contract Expired,0.0,150688.0,Contract Expired
Pabna Solar 100 MW,Solar,IPP,,0.0,100.0,16.0,0.0,100.0,0.0,-,0.0,281790.0,-
Patenga 50MW PP (Baraka),HFO,IPP,8*6.98,50.0,50.0,6.0,50.0,50.0,50.0,-,50.0,500160.0,Liquid fuel shortage
Patuakhali 1320 MW (RNPL),Coal,RNPL,660*2,1320.0,1244.0,976.0,892.0,1050.0,1050.0,AGC,892.0,21949090.0,-
Payra 1320 MW,Coal,BCPCL,2*622,1244.0,1244.0,970.0,1195.0,1244.0,1244.0,AGC,1195.0,27454545.45,FGMO
RPCL 210MW CCPP,Gas,RPCL,4*35+1*70,210.0,210.0,0.0,0.0,210.0,210.0,Low gas pressure,0.0,0.0,Low gas pressure
Rampal 1320 MW (BIFPCL),Coal,PDB,660*2,1234.0,1234.2,768.0,1033.0,1200.0,1200.0,-,1033.0,21810910.0,Machine Problem
Rangpur 113 MW PP (Confidence),HFO,IPP,9*6.984+7*7.015+3.15*2,113.0,113.0,0.0,106.0,113.0,113.0,-,106.0,978316.0,Liquid fuel shortage
Rangpur 20 MW GTPP,HSD,PDB,1*20,20.0,20.0,0.0,0.0,20.0,20.0,-,0.0,0.0,-
Raozan 25 MW PP,HFO,IPP,3*8.9,25.0,25.5,1.0,8.0,25.5,25.5,Liquid fuel shortage,8.0,101988.0,Liquid fuel shortage
Rupsha 105 MW PP (Orion rupsha),HFO,IPP,6*18.445,105.0,105.0,0.0,0.0,105.0,105.0,Liquid fuel shortage,0.0,0.0,Liquid fuel shortage
SS Power,Coal,IPP,2*660,1224.0,1224.0,1160.0,1160.0,1224.0,1224.0,FGMO,1160.0,27234543.0,Coal Shortage Due to BPDB Payment Default
Saidpur 150 MW Simple Cycle Power Plant,HSD,PDB,1*150,150.0,162.443,0.0,0.0,0.0,0.0,-,0.0,0.0,-
Saidpur 20 MW GTPP,HSD,PDB,1*20,20.0,20.0,0.0,0.0,14.0,14.0,-,0.0,0.0,-
Santahar 50 MW Peaking PP,HFO,PDB,6*8.7,50.0,50.0,0.0,21.0,24.0,24.0,Engine Problem,21.0,117211.0,Engine Problem
Sarishabari 3 MW Solar Plant,Solar,IPP,,3.0,2.71,2.3,0.0,2.1,0.0,-,0.0,7050.0,-
Shahjahanulla 25 MW PP,Gas,"SIPP,REB",3*9.34,25.0,25.0,16.0,16.0,25.0,25.0,-,16.0,364320.0,-
Shahjibazar 100 MW GTPP,Gas,PDB,1*100,100.0,100.0,0.0,0.0,0.0,0.0,machine problem,0.0,0.0,machine problem
Shahjibazar 86MW PP (Shahjibazar),Gas,RPP,32*2.90,86.0,86.0,52.0,83.0,86.0,86.0,Gas shortage,83.0,1604160.0,Gas shortage
