Row 3 contains the names of relevant pypsa variables,,,,,,,,
Line Name,Start Bus,End Bus,Length(km),Conductor,Line Resistance (Ohm),Line Inductive Reactance (Ohm),Line Shunt Susceptance (Siemens),Line Nominal Capacity (MVA)
name,bus0,bus1,,,r,x,b,s_nom
JhenaidahSouth_230kVtoBheramaraHVDC_230kV_Line2,JhenaidahSouth_230kV,BheramaraHVDC_230kV,80.5,Twin AAAC,,,,
BoguraWest_230kVtoBarapukuria_230kV_Line1,BoguraWest_230kV,Barapukuria_230kV,106,Twin AAAC,0.049545,0.140636,1.31E-05,230
BoguraWest_230kVtoBarapukuria_230kV_Line2,BoguraWest_230kV,Barapukuria_230kV,106,Twin AAAC,0.049545,0.140636,1.31E-05,230
BoguraSouth_230kVtoBoguraWest_230kV_Line1,BoguraSouth_230kV,BoguraWest_230kV,11,Twin AAAC,,,,
BoguraSouth_230kVtoBoguraWest_230kV_Line2,BoguraSouth_230kV,BoguraWest_230kV,11,Twin AAAC,,,,
BoguraSouth_230kVtoBoguraWest_230kV_Line3,BoguraSouth_230kV,BoguraWest_230kV,11,Twin AAAC,,,,
BoguraSouth_230kVtoBoguraWest_230kV_Line4,BoguraSouth_230kV,BoguraWest_230kV,11,Twin AAAC,,,,
SirajganjSouthWest_230kVtoBoguraSouth_230kV_Line1,SirajganjSouthWest_230kV,BoguraSouth_230kV,72.5,Twin AAAC,0.049545,0.140636,1.31E-05,230
SirajganjSouthWest_230kVtoBoguraSouth_230kV_Line2,SirajganjSouthWest_230kV,BoguraSouth_230kV,72.5,Twin AAAC,0.049545,0.140636,1.31E-05,230
Ishwardi_230kVtoBaghabari_230kV_Line1,Ishwardi_230kV,Baghabari_230kV,55,Twin AAAC,0.049545,0.140636,1.31E-05,230
Ishwardi_230kVtoBaghabari_230kV_Line2,Ishwardi_230kV,Baghabari_230kV,55,Twin AAAC,0.049545,0.140636,1.31E-05,230
Baghabari_230kVtoSirajganjSouthWest_230kV_Line1,Baghabari_230kV,SirajganjSouthWest_230kV,38,Twin AAAC,0.049545,0.140636,1.31E-05,230
Baghabari_230kVtoSirajganjSouthWest_230kV_Line2,Baghabari_230kV,SirajganjSouthWest_230kV,38,Twin AAAC,0.049545,0.140636,1.31E-05,230
Fenchuganj_230kVtoBibiyana_230kV_Line1,Fenchuganj_230kV,Bibiyana_230kV,33.5,Twin Mallard,0.044155,0.133679,1.37E-05,230
Fenchuganj_230kVtoBibiyana_230kV_Line2,Fenchuganj_230kV,Bibiyana_230kV,33.5,Twin Mallard,0.044155,0.133679,1.37E-05,230
Bibiyana_230kVtoShahjibazar_230kV_Line1,Bibiyana_230kV,Shahjibazar_230kV,95,Twin Mallard,0.044155,0.133679,1.37E-05,230
Bibiyana_230kVtoShahjibazar_230kV_Line2,Bibiyana_230kV,Shahjibazar_230kV,95,Twin Mallard,0.044155,0.133679,1.37E-05,230
Shahjibazar_230kVtoCumillaNorth_230kV_Line1,Shahjibazar_230kV,CumillaNorth_230kV,58.5,Twin Mallard,,,,
Shahjibazar_230kVtoCumillaNorth_230kV_Line2,Shahjibazar_230kV,CumillaNorth_230kV,58.5,Twin Mallard,,,,
Aminbazar_230kVtoAgargaon_230kV_Line1,Aminbazar_230kV,Agargaon_230kV,7.5,Twin Mallard,0.044155,0.133679,1.37E-05,230
Aminbazar_230kVtoAgargaon_230kV_Line2,Aminbazar_230kV,Agargaon_230kV,7.5,Twin Mallard,0.044155,0.133679,1.37E-05,230
Siddhirganj_230kVtoManiknagar_230kV_Line1,Siddhirganj_230kV,Maniknagar_230kV,11,Twin Mallard,0.044155,0.133679,1.37E-05,230
Siddhirganj_230kVtoManiknagar_230kV_Line2,Siddhirganj_230kV,Maniknagar_230kV,11,Twin Mallard,0.044155,0.133679,1.37E-05,230
BarishalNorth_230kVtoBorhanuddin_230kV_Line1,BarishalNorth_230kV,Borhanuddin_230kV,62.5,Twin Mallard,0.044155,0.133679,1.37E-05,230
BarishalNorth_230kVtoBorhanuddin_230kV_Line2,BarishalNorth_230kV,Borhanuddin_230kV,62.5,Twin Mallard,0.044155,0.133679,1.37E-05,230
BheramaraHVDC_230kVtoBheramara_230kV_Line1,BheramaraHVDC_230kV,Bheramara_230kV,6,Twin AAAC,0.049545,0.140636,1.31E-05,230
BheramaraHVDC_230kVtoBheramara_230kV_Line2,BheramaraHVDC_230kV,Bheramara_230kV,6,Twin AAAC,0.049545,0.140636,1.31E-05,230
Haripur_230kVtoSiddhirganj_230kV_Line1,Haripur_230kV,Siddhirganj_230kV,1.65,Twin Mallard,0.044155,0.133679,1.37E-05,230
Haripur_230kVtoSiddhirganj_230kV_Line2,Haripur_230kV,Siddhirganj_230kV,1.65,Twin Mallard,0.044155,0.133679,1.37E-05,230
BheramaraHVDC_230kVtoIshwardi_230kV_Line1,BheramaraHVDC_230kV,Ishwardi_230kV,12.8,Quad Mallard,0.022077,0.078468,2.75E-05,230
BheramaraHVDC_230kVtoIshwardi_230kV_Line2,BheramaraHVDC_230kV,Ishwardi_230kV,12.8,Quad Mallard,0.022077,0.078468,2.75E-05,230
Sikalbaha_230kVtoAnwara_230kV_Line1,Sikalbaha_230kV,Anwara_230kV,17.5,Twin Mallard,0.044155,0.133679,1.37E-05,230
Sikalbaha_230kVtoAnwara_230kV_Line2,Sikalbaha_230kV,Anwara_230kV,17.5,Twin Mallard,0.044155,0.133679,1.37E-05,230
Patuakhali_230kVtoPayra_230kV_Line1,Patuakhali_230kV,Payra_230kV,46.5,Twin Mallard,0.035324,0.133679,1.37E-05,230
Patuakhali_230kVtoPayra_230kV_Line2,Patuakhali_230kV,Payra_230kV,46.5,Twin Mallard,0.035324,0.133679,1.37E-05,230
RajshahiNorth_230kVtoBheramaraHVDC_230kV_Line1,RajshahiNorth_230kV,BheramaraHVDC_230kV,66.2,Twin Mallard,0.044155,0.133679,1.37E-05,230
RajshahiNorth_230kVtoBheramaraHVDC_230kV_Line2,RajshahiNorth_230kV,BheramaraHVDC_230kV,66.2,Twin Mallard,0.044155,0.133679,1.37E-05,230
MadunaghatNew_230kVtoHathazari_230kV_Line1,MadunaghatNew_230kV,Hathazari_230kV,28.35,Quad Mallard,0.022077,0.078468,2.75E-05,230
