name,substation,v_nom,carrier,transformer_detail,total_capacity_mva,ownership,grid_circle,implicit
Kamrangirchar_132kV,Kamrangirchar,132,AC,3x50/75,225,DPDC,Dhaka(N),False
Kaptai_132kV,Kaptai,132,AC,1x15/20 Pag (132/11kV),e 3 of 60,BPDB,Chattogram,False
Kazla_132kV,Kazla,132,AC,2x80/120,240,DPDC,Dhaka(S),False
Keraniganj_132kV,Keraniganj,132,AC,2x50/75,150,POWER GRID,Dhaka(S),False
Khagrachari_132kV,Khagrachari,132,AC,2x30/39 (2x3x10/13),78,POWER GRID,Chattogram,False
Khulna (C)_132kV,Khulna (C),132,AC,3x48/64,192,POWER GRID,Khulna,False
Khulshi_132kV,Khulshi,132,AC,2x80/120,240,POWER GRID,Chattogram,False
Kishoreganj_132kV,Kishoreganj,132,AC,3x80/120,360,POWER GRID,Dhaka(N),False
Kodda_132kV,Kodda,132,AC,5x50/75,375,POWER GRID,Dhaka(N),False
Kosba_132kV,Kosba,132,AC,2x80/120,240,POWER GRID,Cumilla,False
KSRM_132kV,KSRM,132,AC,2x35/50,100,Bulk,Chattogram,False
Kulaura_132kV,Kulaura,132,AC,3x25/41,123,POWER GRID,Cumilla,False
Kurigram_132kV,Kurigram,132,AC,2x50/75,150,POWER GRID,Bogura,False
Kushtia_132kV,Kushtia,132,AC,2x80/120,240,POWER GRID,HVDC,False
KYCR_132kV,KYCR,132,AC,1x20/25,20,Bulk,Chattogram,False
Laksam_132kV,Laksam,132,AC,2x80/120,240,POWER GRID,Cumilla,False
Lakshmipur_132kV,Lakshmipur,132,AC,2x80/120,240,POWER GRID,Cumilla,False
Lalbagh_132kV,Lalbagh,132,AC,2x50/75,150,DPDC,Dhaka(N),False
Lalmonirhat_132kV,Lalmonirhat,132,AC,2x50/75 2X15/20 1X25/33,223,POWER GRID,Bogura,False
Mahasthangarh_132kV,Mahasthangarh,132,AC,2x80/120,240,POWER GRID,Bogura,False
Madanganj_132kV,Madanganj,132,AC,2x35/50,100,POWER GRID,Dhaka(S),False
Madaripur_132kV,Madaripur,132,AC,1x25/41 2x50/75,191,POWER GRID,Khulna,False
Madartek_132kV,Madartek,132,AC,2x50/75,150,DPDC,Dhaka(S),False
Madunaghat_132kV,Madunaghat,132,AC,2x80/120,240,POWER GRID,Chattogram,False
Magura_132kV,Magura,132,AC,"2x25/41, 1x80/120",202,POWER GRID,HVDC,False
Maijdee_132kV,Maijdee,132,AC,2x80/120,240,POWER GRID,Cumilla,False
Manikganj_132kV,Manikganj,132,AC,2x50/75 1x35/50,200,POWER GRID,Dhaka(N),False
Maniknagar_132kV,Maniknagar,132,AC,2x50/75,150,DPDC,Dhaka(S),False
Matarbari_132kV,Matarbari,132,AC,2x25/41,82,POWER GRID,Chattogram,False
Matuail_132kV,Matuail,132,AC,2x50/75,150,DPDC,Dhaka(S),False
MI Cement_132kV,MI Cement,132,AC,1x28,28,Bulk,Dhaka(S),False
Mirpur_132kV,Mirpur,132,AC,3x80/120,360,DESCO,Dhaka(N),False
Mirzapur_132kV,Mirzapur,132,AC,2x50/75,150,POWER GRID,Dhaka(N),False
Mithapukur_132kV,Mithapukur,132,AC,2x50/75,150,POWER GRID,Bogura,False
MSML_132kV,MSML,132,AC,1x25/30,30,Bulk,Chattogram,False
Moghbazar_132kV,Moghbazar,132,AC,3x50/75,225,DPDC,Dhaka(S),False
Mongla_132kV,Mongla,132,AC,2x50/75,150,POWER GRID,Khulna,False
Motijheel_132kV,Motijheel,132,AC,2x80/120,240,DPDC,Dhaka(S),False
MRT Motijheel_132kV,MRT Motijheel,132,AC,2x40/50,100,DMTCL,Dhaka(S),False
MRT Uttara_132kV,MRT Uttara,132,AC,2x40/50,100,DMTCL,Dhaka(N),False
Mukhtagacha_132kV,Mukhtagacha,132,AC,3x50/75,225,POWER GRID,Dhaka(N),False
Munshiganj_132kV,Munshiganj,132,AC,2x80/120,240,POWER GRID,Dhaka(S),False
Muradnagar_132kV,Muradnagar,132,AC,2x80/120,240,POWER GRID,Cumilla,False
Mymensingh_132kV,Mymensingh,132,AC,3x80/120,360,POWER GRID,Dhaka(N),False
Naogaon_132kV,Naogaon,132,AC,"2x50/75, 1x80/120",270,POWER GRID,Bogura,False
Narail_132kV,Narail,132,AC,2x50/75,150,POWER GRID,Khulna,False
Narinda_132kV,Narinda,132,AC,2x50/75,150,DPDC,Dhaka(S),False
Narsingdi_132kV,Narsingdi,132,AC,4x50/75,300,POWER GRID,Dhaka(S),False
Natore_132kV,Natore,132,AC,"3x50/75, 1x35/50",275,POWER GRID,Bogura,False
Nawabganj_132kV,Nawabganj,132,AC,2x50/75 Pag,e 4 of 60,POWER GRID,Dhaka(S),False
Netrokona_132kV,Netrokona,132,AC,"2x25/41,1x50/75",157,POWER GRID,Dhaka(N),False
New Tongi_132kV,New Tongi,132,AC,2x80/120,240,DESCO,Dhaka(N),False
