line_name,bus0,bus1,Length(km),Line Resistance (Ohm),Line Inductive Reactance (Ohm),Line Shunt Susceptance (Siemens),s_nom (MVA)
Khula 330MW_230kVtoKhulna (S)_230kV_Line1,Khula 330MW_230kV,Khulna (S)_230kV,14.0,0.06397,0.2362,7.1685e-06,230
Bogura (W)_230kVtoBogura (S)_230kV_Line1,Bogura (W)_230kV,Bogura (S)_230kV,22.0,0.044155,0.133679,1.3746e-05,230
Bogura (W)_230kVtoBogura (S)_230kV_Line2,Bogura (W)_230kV,Bogura (S)_230kV,22.0,0.044155,0.133679,1.3746e-05,230
Sripur_230kVtoAshuganj_230kV_Line1,Sripur_230kV,Ashuganj_230kV,1.4,0.044155,0.133679,1.3746e-05,230
Sripur_230kVtoAshuganj_230kV_Line2,Sripur_230kV,Ashuganj_230kV,1.4,0.044155,0.133679,1.3746e-05,230
Sripur_230kVtoAshuganj_230kV_Line3,Sripur_230kV,Ashuganj_230kV,1.4,0.044155,0.133679,1.3746e-05,230
Sripur_230kVtoAshuganj_230kV_Line4,Sripur_230kV,Ashuganj_230kV,1.4,0.044155,0.133679,1.3746e-05,230
Madunaght_230kVtoMadunaght_230kV_Line1,Madunaght_230kV,Madunaght_230kV,7.0,0.044155,0.133679,1.3746e-05,230
Madunaght_230kVtoMadunaght_230kV_Line2,Madunaght_230kV,Madunaght_230kV,7.0,0.044155,0.133679,1.3746e-05,230
Mirsarai_230kVtoMirsarai_230kV_Line1,Mirsarai_230kV,Mirsarai_230kV,13.3,0.044155,0.133679,1.3746e-05,230
Bogura (S)_230kVtoNaogaon_132kV_Line1,Bogura (S)_230kV,Naogaon_132kV,11.5,0.044155,0.133679,1.3746e-05,230
Bogura (S)_230kVtoNaogaon_132kV_Line2,Bogura (S)_230kV,Naogaon_132kV,11.5,0.044155,0.133679,1.3746e-05,230
Bogura_132kVtoNaogaon_132kV_Line1,Bogura_132kV,Naogaon_132kV,1.5,0.044155,0.133679,1.3746e-05,230
Bogura_132kVtoNaogaon_132kV_Line2,Bogura_132kV,Naogaon_132kV,1.5,0.044155,0.133679,1.3746e-05,230
Bogura_132kVtoNaogaon_132kV_Line3,Bogura_132kV,Naogaon_132kV,1.5,0.044155,0.133679,1.3746e-05,230
Bogura_132kVtoNaogaon_132kV_Line4,Bogura_132kV,Naogaon_132kV,1.5,0.044155,0.133679,1.3746e-05,230
Korerhat_230kVtoChowmuhani_230kV_Line1,Korerhat_230kV,Chowmuhani_230kV,54.0,0.044155,0.133679,1.3746e-05,230
Korerhat_230kVtoChowmuhani_230kV_Line2,Korerhat_230kV,Chowmuhani_230kV,54.0,0.044155,0.133679,1.3746e-05,230
Korerhat_230kVtoChowmuhani_230kV_Line3,Korerhat_230kV,Chowmuhani_230kV,54.0,0.044155,0.133679,1.3746e-05,230
Korerhat_230kVtoChowmuhani_230kV_Line4,Korerhat_230kV,Chowmuhani_230kV,54.0,0.044155,0.133679,1.3746e-05,230
Chowmuhani_230kVtoKachua_230kV_Line1,Chowmuhani_230kV,Kachua_230kV,50.5,0.044155,0.133679,1.3746e-05,230
