place,class,voltages,bus_names,lat,lon,matched_name,osm_id,feature_power,score,confidence,status,source,note
Jashore,town,132,Jashore_132kV,23.1471821,89.2077452,Jessore,way/232044279,substation,100.0,high,accepted,osm,
Jhenaidah,town,132,Jhenaidah_132kV,23.5310785,89.1769719,132,way/232044286,substation,100.0,high,accepted,osm,constrained re-match (3 discs)
JhenaidahSouth,town,132|230,JhenaidahSouth_132kV|JhenaidahSouth_230kV,23.5310785,89.1769719,132,way/232044286,substation,90.0,high,accepted,osm,
Joydebpur,town,132,Joydebpur_132kV,23.992089,90.3827767,Joydebpur,way/148114235,substation,100.0,high,accepted,osm,
Joypurhat,town,132,Joypurhat_132kV,25.1066963,89.0098655,জয়পুরহাট,way/392457244,substation,100.0,high,accepted,osm,
Juldah,plant,132,Juldah_132kV,22.2970038,91.8064758,Acorn Jhulda power plant,way/361199961,plant,91.7,high,accepted,osm,
KSRM,industrial,132,KSRM_132kV,22.8571564,91.5476265,BSRM,way/1041851975,substation,75.0,medium,reopened,osm,
Kabirpur,town,132,Kabirpur_132kV,24.0016242,90.2535684,Kabirpur,way/148114236,substation,100.0,high,accepted,osm,
Kachua,town,132|230,Kachua_132kV|Kachua_230kV,23.2665784,90.864816,Kachua,way/1043456898,substation,100.0,high,accepted,osm,
Kaliakoir,town,132|230|400,Kaliakoir_132kV|Kaliakoir_230kV|Kaliakoir_400kV,24.0938077,90.1973593,Kaliakoir,way/413308914,substation,100.0,high,reopened,osm,constrained re-match (3 discs)
Kaliganj,town,132,Kaliganj_132kV,23.398797,89.1311357,ডাবলিউজেডপিডিসিএল 33,way/1493332305,substation,92.0,high,accepted,osm,
Kallyanpur,town,132,Kallyanpur_132kV,23.7819808,90.3475948,Kallyanpur 132,way/147998704,substation,100.0,high,accepted,osm,
Kalurghat,town,132,Kalurghat_132kV,22.4318897,91.8698558,Madunaghat,way/211045466,substation,63.2,medium,provisional,osm,constrained re-match (1 discs)
Kamrangirchar,town,132,Kamrangirchar_132kV,23.7234374,90.3719171,Kamrangirchar KV Greed Center,way/323229566,substation,86.7,high,reopened,osm,constrained re-match (1 discs)
Kaptai,plant,132,Kaptai_132kV,22.4989076,92.2154359,Kaptai,way/369672637,substation,100.0,high,accepted,osm,
Kasba,town,132,Kasba_132kV,22.529975,88.3932942,Kasba 220 KV Sub Station,node/13611046362,substation,100.0,high,accepted,osm,
