400 kV Transmission Line,,,,,,,,,,,,,,,
SN,Name of Lines,,,"Length in
Route km",,,"Length in
Ckt. Km",,,"No. of
Ckt.",,,Conductor,,
24,Comilla (S)-Chandpur,62,62,Single,,ACCC Linnet,,,336.4 mCM,,,,,,
25,Ashuganj-Kishoreganj,52.0,104,Double,,ACCC Grosbeak,,,636 MCM,,,,,,
26,Kishoreganj-Mymensingh,59.0,118,Double,,Grosbeak,,,636 MCM,,,,,,
27,Mymensingh-Jamalpur,55.0,110,Double,,ACCC Grosbeak,,,636 MCM,,,,,,
28,Madunaghat-Sikalbaha,17,17,Single,,Grosbeak,,,636 MCM,,,,,,
29,Madunaghat-TKC,9,9,Single,,Grosbeak,,,636 MCM,,,,,,
30,TKC-Sikalbaha,9,9,Single,,Grosbeak,,,636 MCM,,,,,,
31,Sikalbaha-Dohazari,32.0,64,Double,,ACCC Grosbeak,,,636 MCM,,,,,,
32,Sikalbaha-Juldah,8,8,Single,,AAAC,,,804 sq.mm,,,,,,
33,Juldah-Halishahar,8.0,8.0,Single,,AAAC,,,804 sq.mm,,,,,,
34,Khulshi-Baroaulia,15,15,single,,Grosbeak,,,636 MCM,,,,,,
35,Khulshi-AKSML,11,11,single,,Grosbeak,,,636 MCM,,,,,,
36,AKSML-Baroaulia,4,4,single,,Grosbeak,,,636 MCM,,,,,,
37,Madunaghat-Khulshi,13.0,13.0,Single,,Grosbeak,,,636 MCM,,,,,,
38,Madunaghat-Khulshi,13.0,13.0,Single,,Grosbeak,,,636 MCM,,,,,,
39,Kaptai-Chandraghona,12,23,Double,,Grosbeak,,,636 MCM,,,,,,
40,Chandraghona-Madunaghat,27.0,54,Double,,Grosbeak,,,636 MCM,,,,,,
41,Madunaghat-Hathazari,10,20,Double,,Grosbeak,,,636 MCM,,,,,,
42,Hathazari-Baroaulia,11.0,22,Double,,Grosbeak,,,636 MCM,,,,,,
43,Dohazari-Cox's Bazar,87.0,174,Double,,ACCC Grosbeak,,,636 MCM,,,,,,
44,Feni-Chowmuhani,32.0,64,Double,,Grosbeak,,,636 MCM,,,,,,
45,Baroaulia- Kabir Steel,4.0,4.0,Single,,Grosbeak,,,636 MCM,,,,,,
46,Mymensingh-Netrokona,34.0,68,Double,,Grosbeak,,,636 MCM,,,,,,
47,Goalpara-Khulna (C),2,3,Double,,AAAC,,,804 MCM,,,,,,
48,Khulna (C)-Noapara,23,46,Double,,AAAC,,,804 MCM,,,,,,
49,Noapara-Jessore,28,56,Double,,AAAC,,,804 MCM,,,,,,
50,Jessore-Jhenaidah,48,95,Double,,AAAC,,,804 MCM,,,,,,
51,Jhenaidah-Kustia,43.0,86,Double,,ACCC AAAC,,,804 MCM,,,,,,
52,Kustia-Bheramana,23.0,46,Double,,ACCC Grosbeak,,,804 MCM,,,,,,
