start_node,end_node,voltage_level,approx_length_km,status,line_name
Shyampur,Hasnabad,230 kV,0.0,Existing,Shyampur_230kVtoHasnabad_230kV_Line4
Shyampur,Meghnaghat,230 kV,0.0,Existing,Shyampur_230kVtoMeghnaghat_230kV_Line1
Shyampur,Meghnaghat,230 kV,0.0,Existing,Shyampur_230kVtoMeghnaghat_230kV_Line2
Shyampur,Meghnaghat,230 kV,0.0,Existing,Shyampur_230kVtoMeghnaghat_230kV_Line3
Shyampur,Meghnaghat,230 kV,0.0,Existing,Shyampur_230kVtoMeghnaghat_230kV_Line4
Patuakhali,Payra,230 kV,46.5,Existing,Patuakhali_230kVtoPayra_230kV_Line1
Patuakhali,Payra,230 kV,46.5,Existing,Patuakhali_230kVtoPayra_230kV_Line2
Ishurdi,Rajshahi,230 kV,79.0,Existing,Ishurdi_230kVtoRajshahi_230kV_Line1
Ishurdi,Rajshahi,230 kV,79.0,Existing,Ishurdi_230kVtoRajshahi_230kV_Line2
Jhenaidah,Bheramara,230 kV,2.0,Existing,Jhenaidah_230kVtoBheramara_230kV_Line1
Jhenaidah,Bheramara,230 kV,2.0,Existing,Jhenaidah_230kVtoBheramara_230kV_Line2
Jhenaidah,Bheramara,230 kV,2.0,Existing,Jhenaidah_230kVtoBheramara_230kV_Line3
Jhenaidah,Bheramara,230 kV,2.0,Existing,Jhenaidah_230kVtoBheramara_230kV_Line4
Jhenaidah,Khulna (S),230 kV,2.0,Existing,Jhenaidah_230kVtoKhulna (S)_230kV_Line1
Jhenaidah,Khulna (S),230 kV,2.0,Existing,Jhenaidah_230kVtoKhulna (S)_230kV_Line2
Jhenaidah,Khulna (S),230 kV,2.0,Existing,Jhenaidah_230kVtoKhulna (S)_230kV_Line3
Jhenaidah,Khulna (S),230 kV,2.0,Existing,Jhenaidah_230kVtoKhulna (S)_230kV_Line4
Sikalbaha,Hathazari,230 kV,28.0,Existing,Sikalbaha_230kVtoHathazari_230kV_Line1
Sikalbaha,Hathazari,230 kV,28.0,Existing,Sikalbaha_230kVtoHathazari_230kV_Line2
Mongla,Khulna(S),230 kV,24.0,Existing,Mongla_230kVtoKhulna(S)_230kV_Line1
Mongla,Khulna(S),230 kV,24.0,Existing,Mongla_230kVtoKhulna(S)_230kV_Line2
Barishal(N),Gopalganj,230 kV,75.0,Existing,Barishal(N)_230kVtoGopalganj_230kV_Line1
Barishal(N),Gopalganj,230 kV,75.0,Existing,Barishal(N)_230kVtoGopalganj_230kV_Line2
Gopalganj,Faridpur,230 kV,49.0,Existing,Gopalganj_230kVtoFaridpur_230kV_Line1
Gopalganj,Faridpur,230 kV,49.0,Existing,Gopalganj_230kVtoFaridpur_230kV_Line2
Madunaghat(N),Sikalbaha,230 kV,6.0,Existing,Madunaghat(N)_230kVtoSikalbaha_230kV_Line1
Madunaghat(N),Sikalbaha,230 kV,6.0,Existing,Madunaghat(N)_230kVtoSikalbaha_230kV_Line2
Madunaghat(N),Hathazari,230 kV,6.0,Existing,Madunaghat(N)_230kVtoHathazari_230kV_Line1
Madunaghat(N),Hathazari,230 kV,6.0,Existing,Madunaghat(N)_230kVtoHathazari_230kV_Line2
Rooppur,Baghabari,230 kV,65.0,Existing,Rooppur_230kVtoBaghabari_230kV_Line1
Rooppur,Baghabari,230 kV,65.0,Existing,Rooppur_230kVtoBaghabari_230kV_Line2
Khula 330MW,Khula(S),230 kV,14.0,Existing,Khula 330MW_230kVtoKhula(S)_230kV_Line1
Bogura(West),Bogura,230 kV,11.0,Existing,Bogura(West)_230kVtoBogura_230kV_Line1
Bogura(West),Bogura,230 kV,11.0,Existing,Bogura(West)_230kVtoBogura_230kV_Line2
Bogura(West),Barapukuria,230 kV,11.0,Existing,Bogura(West)_230kVtoBarapukuria_230kV_Line1
Bogura(West),Barapukuria,230 kV,11.0,Existing,Bogura(West)_230kVtoBarapukuria_230kV_Line2
Sreepur,Ashuganj,230 kV,1.4,Existing,Sreepur_230kVtoAshuganj_230kV_Line1
Sreepur,Ashuganj,230 kV,1.4,Existing,Sreepur_230kVtoAshuganj_230kV_Line2
Sreepur,Ashuganj,230 kV,1.4,Existing,Sreepur_230kVtoAshuganj_230kV_Line3
Sreepur,Ashuganj,230 kV,1.4,Existing,Sreepur_230kVtoAshuganj_230kV_Line4
Sreepur,Sirajganj,230 kV,1.4,Existing,Sreepur_230kVtoSirajganj_230kV_Line1
Sreepur,Sirajganj,230 kV,1.4,Existing,Sreepur_230kVtoSirajganj_230kV_Line2
Sreepur,Sirajganj,230 kV,1.4,Existing,Sreepur_230kVtoSirajganj_230kV_Line3
Sreepur,Sirajganj,230 kV,1.4,Existing,Sreepur_230kVtoSirajganj_230kV_Line4
Madunaght(O),Madunaghat 400kV,230 kV,7.0,Existing,Madunaght(O)_230kVtoMadunaghat 400kV_230kV_Line1
Madunaght(O),Madunaghat 400kV,230 kV,7.0,Existing,Madunaght(O)_230kVtoMadunaghat 400kV_230kV_Line2
Sonagazi (EGCB),Mirsarai,230 kV,13.3,Existing,Sonagazi (EGCB)_230kVtoMirsarai_230kV_Line1
Bogura(S),Noagaon (Partial),230 kV,12.0,Ongoing,Bogura(S)_230kVtoNoagaon (Partial)_230kV_Line1
Bogura(S),Noagaon (Partial),230 kV,12.0,Ongoing,Bogura(S)_230kVtoNoagaon (Partial)_230kV_Line2
Bogura(S),Noagaon,230 kV,1.0,Ongoing,Bogura(S)_230kVtoNoagaon_230kV_Line1
Bogura(S),Noagaon,230 kV,1.0,Ongoing,Bogura(S)_230kVtoNoagaon_230kV_Line2
Bogura(S),Noagaon,230 kV,1.0,Ongoing,Bogura(S)_230kVtoNoagaon_230kV_Line3
Bogura(S),Noagaon,230 kV,1.0,Ongoing,Bogura(S)_230kVtoNoagaon_230kV_Line4
Korerhat,Chowmuhani,230 kV,54.0,Existing,Korerhat_230kVtoChowmuhani_230kV_Line1
Korerhat,Chowmuhani,230 kV,54.0,Existing,Korerhat_230kVtoChowmuhani_230kV_Line2
Korerhat,Chowmuhani,230 kV,54.0,Existing,Korerhat_230kVtoChowmuhani_230kV_Line3
Korerhat,Chowmuhani,230 kV,54.0,Existing,Korerhat_230kVtoChowmuhani_230kV_Line4
Chowmuhani,Kachua,230 kV,51.0,Existing,Chowmuhani_230kVtoKachua_230kV_Line1
Chowmuhani,Kachua,230 kV,51.0,Existing,Chowmuhani_230kVtoKachua_230kV_Line2
Chowmuhani,Kachua,230 kV,51.0,Existing,Chowmuhani_230kVtoKachua_230kV_Line3
Chowmuhani,Kachua,230 kV,51.0,Existing,Chowmuhani_230kVtoKachua_230kV_Line4
Chowmuhani,Maijdee,230 kV,20.0,Existing,Chowmuhani_230kVtoMaijdee_230kV_Line1
Chowmuhani,Maijdee,230 kV,20.0,Existing,Chowmuhani_230kVtoMaijdee_230kV_Line2
