name,bus0,bus1,length,r_ohm_per_km,x_ohm_per_km,b_siemens_per_km,v_nom_kv,n_circuits,conductor,is_lilo,source_name
LILO_Pubail_Ghorashal_TL_4,Pubail_132kV,Ghorashal_132kV,3.25,0.0852,0.4097,2.73e-06,132,4,Grosbeak,True,LILO of Ghorashal-Joydevpur at Pubail
Sirajganj_Sirajganj_TL_1,Sirajganj_132kV,Sirajganj_132kV,10.0,0.0852,0.4097,2.73e-06,132,2,Grosbeak,False,Sirangj 68MW Solar-Sirajganj
Sirajganj_Sirajganj_TL_2,Sirajganj_132kV,Sirajganj_132kV,10.0,0.0852,0.4097,2.73e-06,132,2,Grosbeak,False,Sirangj 68MW Solar-Sirajganj
LILO_Muradnagar_Cumilla (N)_TL_1,Muradnagar_132kV,Cumilla (N)_132kV,1.75,0.0852,0.4097,2.73e-06,132,4,Grosbeak,True,LILO of Cumilla(N)-Daudkandi at Muradnagar
LILO_Muradnagar_Cumilla (N)_TL_2,Muradnagar_132kV,Cumilla (N)_132kV,1.75,0.0852,0.4097,2.73e-06,132,4,Grosbeak,True,LILO of Cumilla(N)-Daudkandi at Muradnagar
LILO_Muradnagar_Cumilla (N)_TL_3,Muradnagar_132kV,Cumilla (N)_132kV,1.75,0.0852,0.4097,2.73e-06,132,4,Grosbeak,True,LILO of Cumilla(N)-Daudkandi at Muradnagar
LILO_Muradnagar_Cumilla (N)_TL_4,Muradnagar_132kV,Cumilla (N)_132kV,1.75,0.0852,0.4097,2.73e-06,132,4,Grosbeak,True,LILO of Cumilla(N)-Daudkandi at Muradnagar
LILO_Bajitpur_Ashuganj_TL_1,Bajitpur_132kV,Ashuganj_132kV,0.25,0.065,0.39,2.73e-06,132,4,ACCC Grosbeak,True,LILO of Ashuganj-Kishoreganj at Bajitpur
LILO_Bajitpur_Ashuganj_TL_2,Bajitpur_132kV,Ashuganj_132kV,0.25,0.065,0.39,2.73e-06,132,4,ACCC Grosbeak,True,LILO of Ashuganj-Kishoreganj at Bajitpur
LILO_Bajitpur_Ashuganj_TL_3,Bajitpur_132kV,Ashuganj_132kV,0.25,0.065,0.39,2.73e-06,132,4,ACCC Grosbeak,True,LILO of Ashuganj-Kishoreganj at Bajitpur
LILO_Bajitpur_Ashuganj_TL_4,Bajitpur_132kV,Ashuganj_132kV,0.25,0.065,0.39,2.73e-06,132,4,ACCC Grosbeak,True,LILO of Ashuganj-Kishoreganj at Bajitpur
Rahanpur_400kV_Chowdala_TL_1,Rahanpur_400kV,Chowdala_132kV,7.0,0.0852,0.4097,2.73e-06,132,2,Grosbeak,False,Rahanpur-Chowdala(Section onward)
Rahanpur_400kV_Chowdala_TL_2,Rahanpur_400kV,Chowdala_132kV,7.0,0.0852,0.4097,2.73e-06,132,2,Grosbeak,False,Rahanpur-Chowdala(Section onward)
LILO_Mukhtagacha_Ghatail_TL_1,Mukhtagacha_132kV,Ghatail_132kV,0.75,0.0852,0.4097,2.73e-06,132,4,Grosbeak,True,LILO of Ghatial-RPCL at Muktagacha
LILO_Mukhtagacha_Ghatail_TL_2,Mukhtagacha_132kV,Ghatail_132kV,0.75,0.0852,0.4097,2.73e-06,132,4,Grosbeak,True,LILO of Ghatial-RPCL at Muktagacha
LILO_Mukhtagacha_Ghatail_TL_3,Mukhtagacha_132kV,Ghatail_132kV,0.75,0.0852,0.4097,2.73e-06,132,4,Grosbeak,True,LILO of Ghatial-RPCL at Muktagacha
LILO_Mukhtagacha_Ghatail_TL_4,Mukhtagacha_132kV,Ghatail_132kV,0.75,0.0852,0.4097,2.73e-06,132,4,Grosbeak,True,LILO of Ghatial-RPCL at Muktagacha
Muradnagar_Kosba_TL_1,Muradnagar_132kV,Kosba_132kV,24.0,0.0852,0.4097,2.73e-06,132,2,Grosbeak,False,Muradnagar-Kosba
Muradnagar_Kosba_TL_2,Muradnagar_132kV,Kosba_132kV,24.0,0.0852,0.4097,2.73e-06,132,2,Grosbeak,False,Muradnagar-Kosba
Jhenaidah_Chuadanga_TL_1,Jhenaidah_132kV,Chuadanga_132kV,39.0,0.0852,0.4097,2.73e-06,132,1,Grosbeak,False,Jhenaidah-Chuadanga
Kurigram_Lalmonirhat_TL_1,Kurigram_132kV,Lalmonirhat_132kV,31.0,0.0852,0.4097,2.73e-06,132,1,Grosbeak,False,Kurigram-Lalmonirht 2nd circuit
LILO_Bhulta_Haripur_230kV_TL_1,Bhulta_132kV,Haripur_230kV,0.25,0.0852,0.4097,2.73e-06,132,4,Grosbeak,True,LILO of Hairpur-Narsinghdi at Bhulta (N)
LILO_Bhulta_Haripur_230kV_TL_2,Bhulta_132kV,Haripur_230kV,0.25,0.0852,0.4097,2.73e-06,132,4,Grosbeak,True,LILO of Hairpur-Narsinghdi at Bhulta (N)
LILO_Bhulta_Haripur_230kV_TL_3,Bhulta_132kV,Haripur_230kV,0.25,0.0852,0.4097,2.73e-06,132,4,Grosbeak,True,LILO of Hairpur-Narsinghdi at Bhulta (N)
LILO_Bhulta_Haripur_230kV_TL_4,Bhulta_132kV,Haripur_230kV,0.25,0.0852,0.4097,2.73e-06,132,4,Grosbeak,True,LILO of Hairpur-Narsinghdi at Bhulta (N)
LILO_Patiya_Sikalbaha_TL_1,Patiya_132kV,Sikalbaha_132kV,0.5,0.065,0.39,2.73e-06,132,4,ACCC Grosbeak,True,LILO of Sikalbaha-Dohazari at Patiya
LILO_Patiya_Sikalbaha_TL_2,Patiya_132kV,Sikalbaha_132kV,0.5,0.065,0.39,2.73e-06,132,4,ACCC Grosbeak,True,LILO of Sikalbaha-Dohazari at Patiya
LILO_Patiya_Sikalbaha_TL_3,Patiya_132kV,Sikalbaha_132kV,0.5,0.065,0.39,2.73e-06,132,4,ACCC Grosbeak,True,LILO of Sikalbaha-Dohazari at Patiya
LILO_Patiya_Sikalbaha_TL_4,Patiya_132kV,Sikalbaha_132kV,0.5,0.065,0.39,2.73e-06,132,4,ACCC Grosbeak,True,LILO of Sikalbaha-Dohazari at Patiya
LILO_Halishahar_Halishahar_TL_1,Halishahar_132kV,Halishahar_132kV,0.25,0.0852,0.4097,2.73e-06,132,4,Grosbeak,True,LILO of Halishahar-Khulsi at Anandabazar
LILO_Halishahar_Halishahar_TL_2,Halishahar_132kV,Halishahar_132kV,0.25,0.0852,0.4097,2.73e-06,132,4,Grosbeak,True,LILO of Halishahar-Khulsi at Anandabazar
LILO_Halishahar_Halishahar_TL_3,Halishahar_132kV,Halishahar_132kV,0.25,0.0852,0.4097,2.73e-06,132,4,Grosbeak,True,LILO of Halishahar-Khulsi at Anandabazar
LILO_Halishahar_Halishahar_TL_4,Halishahar_132kV,Halishahar_132kV,0.25,0.0852,0.4097,2.73e-06,132,4,Grosbeak,True,LILO of Halishahar-Khulsi at Anandabazar
Cumilla (N)_Chandina_TL_1,Cumilla (N)_132kV,Chandina_132kV,16.0,0.0852,0.4097,2.73e-06,132,2,Grosbeak,False,Cumilla(N)-Chandina
Cumilla (N)_Chandina_TL_2,Cumilla (N)_132kV,Chandina_132kV,16.0,0.0852,0.4097,2.73e-06,132,2,Grosbeak,False,Cumilla(N)-Chandina
